title,author,state,source,district,openLibraryKey,isbn,availability,cover_url
Call Me By Your Name,"Aciman, André",AK,A,,/works/OL8034526W,9780374118044,private,https://covers.openlibrary.org/b/isbn/9780374118044-M.jpg?default=false
The Haters,"Andrews, Jesse",AK,A,,/works/OL19852306W,9781419720789,borrow_available,https://covers.openlibrary.org/b/isbn/9781419720789-M.jpg?default=false
Red Hood,"Arnold, Elana K.",AK,A,,/works/OL20649351W,9780062742377,Unknown,
Forever...,"Blume, Judy",AK,A,,/works/OL1838409W,9789996669613,private,
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",AK,A,,/works/OL15171356W,0061949647,private,
The Perks of Being a Wallflower,"Chbosky, Stephen",AK,A,,/works/OL875437W,9782010021787,borrow_available,https://covers.openlibrary.org/b/isbn/9782010021787-M.jpg?default=false
Flamer,"Curato, Mike",AK,A,,/works/OL20813470W,9781250756145,private,https://covers.openlibrary.org/b/isbn/9781250756145-M.jpg?default=false
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",AK,A,,/works/OL5738259W,9780547416212,borrow_available,
The Carnival at Bray,"Foley, Jessie Ann",AK,A,,/works/OL17081973W,1322096767,borrow_available,
Water for Elephants,"Gruen, Sara",AK,A,,/works/OL5813796W,9781565125605,borrow_available,https://covers.openlibrary.org/b/isbn/9781565125605-M.jpg?default=false
The Freedom Writers Diary,"Gruwell, Erin",AK,A,,/works/OL8526561W,038549422X,private,https://covers.openlibrary.org/b/isbn/038549422X-M.jpg?default=false
Homegoing,"Gyasi, Yaa",AK,A,,/works/OL17795349W,0241975239,private,
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",AK,A,,/works/OL42649W,9780763668716,borrow_available,https://covers.openlibrary.org/b/isbn/9780763668716-M.jpg?default=false
Sex: An Uncensored Introduction,"Hasler, Nikol",AK,A,,/works/OL17402644W,1936976854,borrow_available,
It Ends With Us,"Hoover, Colleen",AK,A,,/works/OL18020194W,9788820072940,private,https://covers.openlibrary.org/b/isbn/9788820072940-M.jpg?default=false
Ugly Love,"Hoover, Colleen",AK,A,,/works/OL20577143W,1471136728,private,
Verity,"Hoover, Colleen",AK,A,,/works/OL20068530W,9781538724743,Unknown,
Crank,"Hopkins, Ellen",AK,A,,/works/OL5969752W,9780689865190,private,https://covers.openlibrary.org/b/isbn/9780689865190-M.jpg?default=false
Identical,"Hopkins, Ellen",AK,A,,/works/OL5969735W,9781416984658,private,
Perfect (EH),"Hopkins, Ellen",AK,A,,/works/OL476641W,8310109873,borrow_available,
Tricks,"Hopkins, Ellen",AK,A,,/works/OL5969746W,1416950087,private,https://covers.openlibrary.org/b/isbn/1416950087-M.jpg?default=false
I Never,"Hopper, Laura",AK,A,,/works/OL19721389W,9781328809896,borrow_available,
The Kite Runner,"Hosseini, Khaled",AK,A,,/works/OL5781992W,9780132356596,borrow_available,
The Kite Runner Graphic Novel,"Hosseini, Khaled",AK,A,,/works/OL15902631W,1408859912,private,
Monday's Not Coming,"Jackson, Tiffany D.",AK,A,,/works/OL19742314W,9780062422682,private,https://covers.openlibrary.org/b/isbn/9780062422682-M.jpg?default=false
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",AK,A,,/works/OL16095089W,1444927981,private,
You: A Novel of Dark Obsession,"Kepnes, Caroline",AK,A,,/works/OL19989002W,9781471137358,private,https://covers.openlibrary.org/b/isbn/9781471137358-M.jpg?default=false
Last Night at the Telegraph Club,"Lo, Malinda",AK,A,,/works/OL21915364W,9781529366587,Unknown,https://covers.openlibrary.org/b/isbn/9781529366587-M.jpg?default=false
A Court of Frost and Starlight,"Maas, Sarah J.",AK,A,,/works/OL19655889W,9788328060449,Unknown,https://covers.openlibrary.org/b/isbn/9788328060449-M.jpg?default=false
A Court of Mist and Fury,"Maas, Sarah J.",AK,A,,/works/OL17860744W,9781408857892,private,https://covers.openlibrary.org/b/isbn/9781408857892-M.jpg?default=false
A ​Court of Silver Flames,"Maas, Sarah J.",AK,A,,/works/OL21703979W,1526620642,Unknown,https://covers.openlibrary.org/b/isbn/1526620642-M.jpg?default=false
A Court of Thorns and Roses,"Maas, Sarah J.",AK,A,,/works/OL17352669W,2732472301,private,https://covers.openlibrary.org/b/isbn/2732472301-M.jpg?default=false
A Court of Wings and Ruin,"Maas, Sarah J.",AK,A,,/works/OL17823218W,9781681197678,private,https://covers.openlibrary.org/b/isbn/9781681197678-M.jpg?default=false
Empire of Storms,"Maas, Sarah J.",AK,A,,/works/OL17625829W,9781619636095,borrow_available,https://covers.openlibrary.org/b/isbn/9781619636095-M.jpg?default=false
Kingdom of Ash,"Maas, Sarah J.",AK,A,,/works/OL19352982W,1526635275,Unknown,https://covers.openlibrary.org/b/isbn/1526635275-M.jpg?default=false
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",AK,A,,/works/OL66218W,0063391074,private,
Sold,"McCormick, Patricia",AK,A,,/works/OL8119653W,9780786851713,private,https://covers.openlibrary.org/b/isbn/9780786851713-M.jpg?default=false
"Red, White, and Royal Blue","McQuiston, Casey",AK,A,,/works/OL42309809W,1250316774,Unknown,https://covers.openlibrary.org/b/isbn/1250316774-M.jpg?default=false
The Bluest Eye,"Morrison, Toni",AK,A,,/works/OL50565W,9780452287068,private,https://covers.openlibrary.org/b/isbn/9780452287068-M.jpg?default=false
Exit Here.,"Myers, Jason",AK,A,,/works/OL8755729W,9781439104002,Unknown,
"l8r, g8r","Myracle, Lauren",AK,A,,/works/OL5717635W,9780810970861,borrow_available,https://covers.openlibrary.org/b/isbn/9780810970861-M.jpg?default=false
Shine,"Myracle, Lauren",AK,A,,/works/OL16261093W,1419701843,borrow_available,https://covers.openlibrary.org/b/isbn/1419701843-M.jpg?default=false
yolo,"Myracle, Lauren",AK,A,,/works/OL19989446W,1419716654,borrow_available,https://covers.openlibrary.org/b/isbn/1419716654-M.jpg?default=false
Nineteen Minutes,"Picoult, Jodi",AK,A,,/works/OL891945W,1741769035,borrow_available,
Persepolis 2: The Story of a Return,"Satrapi, Marjane",AK,A,,/works/OL27421760W,9780224074407,private,https://covers.openlibrary.org/b/isbn/9780224074407-M.jpg?default=false
Persepolis: The Story of a Childhood,"Satrapi, Marjane",AK,A,,/works/OL20715162W,9780375714573,private,https://covers.openlibrary.org/b/isbn/9780375714573-M.jpg?default=false
Living Dead Girl,"Scott, Elizabeth",AK,A,,/works/OL8165756W,9781416960607,private,https://covers.openlibrary.org/b/isbn/9781416960607-M.jpg?default=false
Lucky (AS),"Sebold, Alice",AK,A,,/works/OL1863530W,8588808536,borrow_available,https://covers.openlibrary.org/b/isbn/8588808536-M.jpg?default=false
The Lovely Bones,"Sebold, Alice",AK,A,,/works/OL5962664W,160024842X,borrow_available,https://covers.openlibrary.org/b/isbn/160024842X-M.jpg?default=false
This One Summer,"Tamaki, Mariko",AK,A,,/works/OL17094879W,9781554981526,private,https://covers.openlibrary.org/b/isbn/9781554981526-M.jpg?default=false
Drama: A Graphic Novel,"Telgemeier, Raina",AK,A,,/works/OL16793507W,9780545779968,private,
Slaughterhouse-Five,"Vonnegut Jr., Kurt",AK,A,,/works/OL98459W,9780060564926,borrow_available,https://covers.openlibrary.org/b/isbn/9780060564926-M.jpg?default=false
This Book Is Gay,"Dawson, Juno",CA,A,,/works/OL38112418W,1471408310,Unknown,
Looking for Alaska,"Green, John",CA,A,,/works/OL265426W,052542802X,borrow_available,https://covers.openlibrary.org/b/isbn/052542802X-M.jpg?default=false
Thirteen Reasons Why,"Asher, Jay",FL,A,,/works/OL9264548W,9780141328294,private,https://covers.openlibrary.org/b/isbn/9780141328294-M.jpg?default=false
Clockwork Orange,"Burgess, Anthony",FL,A,,/works/OL261794W,9788576574637,borrow_available,https://covers.openlibrary.org/b/isbn/9788576574637-M.jpg?default=false
Pet,"Emezi, Akwaeke",FL,A,,/works/OL20150134W,9788412571745,Unknown,https://covers.openlibrary.org/b/isbn/9788412571745-M.jpg?default=false
Melissa (George),"Gino, Alex",FL,A,,/works/OL17334061W,1338843400,private,
Water for Elephants,"Gruen, Sara",FL,A,,/works/OL5813796W,9781565125605,borrow_available,https://covers.openlibrary.org/b/isbn/9781565125605-M.jpg?default=false
The Freedom Writers Diary,"Gruwell, Erin",FL,A,,/works/OL8526561W,038549422X,private,https://covers.openlibrary.org/b/isbn/038549422X-M.jpg?default=false
Burned (EH),"Hopkins, Ellen",FL,A,,/works/OL15678068W,0393959465,open,https://covers.openlibrary.org/b/isbn/0393959465-M.jpg?default=false
Tricks,"Hopkins, Ellen",FL,A,,/works/OL5969746W,1416950087,private,https://covers.openlibrary.org/b/isbn/1416950087-M.jpg?default=false
All Boys Aren't Blue,"Johnson, George M.",FL,A,,/works/OL20728338W,9780241515044,private,
The Sun and Her Flowers,"Kaur, Rupi",FL,A,,/works/OL17800586W,9781449486792,private,https://covers.openlibrary.org/b/isbn/9781449486792-M.jpg?default=false
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",FL,A,,/works/OL16095089W,1444927981,private,
Gender Queer: A Memoir,"Kobabe, Maia",FL,A,,/works/OL41899364W,9781637150771,Unknown,
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",FL,A,,/works/OL16818314W,0763673684,private,https://covers.openlibrary.org/b/isbn/0763673684-M.jpg?default=false
Last Night at the Telegraph Club,"Lo, Malinda",FL,A,,/works/OL21915364W,9781529366587,Unknown,https://covers.openlibrary.org/b/isbn/9781529366587-M.jpg?default=false
Empire of Storms,"Maas, Sarah J.",FL,A,,/works/OL17625829W,9781619636095,borrow_available,https://covers.openlibrary.org/b/isbn/9781619636095-M.jpg?default=false
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",FL,A,,/works/OL66218W,0063391074,private,
Fade,"McMann, Lisa",FL,A,,/works/OL9740941W,9781416974482,private,https://covers.openlibrary.org/b/isbn/9781416974482-M.jpg?default=false
Haunted,"Palahniuk, Chuck",FL,A,,/works/OL18936W,0385509480,Unknown,https://covers.openlibrary.org/b/isbn/0385509480-M.jpg?default=false
Nineteen Minutes,"Picoult, Jodi",FL,A,,/works/OL891945W,1741769035,borrow_available,
Jesus Land: A Memoir,"Scheeres, Julia",FL,A,,/works/OL8945256W,9781619020658,borrow_available,
Lucky (AS),"Sebold, Alice",FL,A,,/works/OL1863530W,8588808536,borrow_available,https://covers.openlibrary.org/b/isbn/8588808536-M.jpg?default=false
The Almost Moon,"Sebold, Alice",FL,A,,/works/OL5962662W,9780316022811,borrow_available,
It Feels Good to Be Yourself: A Book About Gender Identity,"Thorn, Theresa",FL,A,,/works/OL20914137W,1250302951,Unknown,https://covers.openlibrary.org/b/isbn/1250302951-M.jpg?default=false
Slaughterhouse-Five,"Vonnegut Jr., Kurt",FL,A,,/works/OL98459W,9780060564926,borrow_available,https://covers.openlibrary.org/b/isbn/9780060564926-M.jpg?default=false
Flowers in the Attic,"Andrews, V.C.",FL,A,,/works/OL134834W,9780671729417,borrow_available,https://covers.openlibrary.org/b/isbn/9780671729417-M.jpg?default=false
Storm and Fury,"Armentrout, Jennifer L.",FL,A,,/works/OL21207947W,9781489282668,Unknown,
Oryx and Crake,"Atwood, Margaret",FL,A,,/works/OL675722W,0747562598,borrow_available,https://covers.openlibrary.org/b/isbn/0747562598-M.jpg?default=false
Fun Home: A Family Tragicomic,"Bechdel, Alison",FL,A,,/works/OL1835957W,0618477942,borrow_available,https://covers.openlibrary.org/b/isbn/0618477942-M.jpg?default=false
Flamer,"Curato, Mike",FL,A,,/works/OL20813470W,9781250756145,private,https://covers.openlibrary.org/b/isbn/9781250756145-M.jpg?default=false
A Stolen Life,"Dugard, Jaycee",FL,A,,/works/OL15951491W,1451629192,borrow_available,https://covers.openlibrary.org/b/isbn/1451629192-M.jpg?default=false
The Carnival at Bray,"Foley, Jessie Ann",FL,A,,/works/OL17081973W,1322096767,borrow_available,
Wrecked,"Frank, E. R.",FL,A,,/works/OL69565W,9780689873836,private,https://covers.openlibrary.org/b/isbn/9780689873836-M.jpg?default=false
Friction,"Frank, E.R.",FL,A,,/works/OL8317040W,080721647X,Unknown,https://covers.openlibrary.org/b/isbn/080721647X-M.jpg?default=false
It Ends With Us,"Hoover, Colleen",FL,A,,/works/OL18020194W,9788820072940,private,https://covers.openlibrary.org/b/isbn/9788820072940-M.jpg?default=false
Fallout,"Hopkins, Ellen",FL,A,,/works/OL15110282W,9781416950097,private,https://covers.openlibrary.org/b/isbn/9781416950097-M.jpg?default=false
Glass,"Hopkins, Ellen",FL,A,,/works/OL21908329W,9781416940906,private,https://covers.openlibrary.org/b/isbn/9781416940906-M.jpg?default=false
Impulse,"Hopkins, Ellen",FL,A,,/works/OL5969753W,9781416903567,private,https://covers.openlibrary.org/b/isbn/9781416903567-M.jpg?default=false
Smoke,"Hopkins, Ellen",FL,A,,/works/OL21908324W,1442423587,private,https://covers.openlibrary.org/b/isbn/1442423587-M.jpg?default=false
When Aidan Became a Brother,"Lukoff, Kyle",FL,A,,/works/OL21337530W,9781620148372,Unknown,https://covers.openlibrary.org/b/isbn/9781620148372-M.jpg?default=false
Boy Toy,"Lyga, Barry",FL,A,,/works/OL5840600W,9780618723935,private,https://covers.openlibrary.org/b/isbn/9780618723935-M.jpg?default=false
A Court of Wings and Ruin,"Maas, Sarah J.",FL,A,,/works/OL17823218W,9781681197678,private,https://covers.openlibrary.org/b/isbn/9781681197678-M.jpg?default=false
Crown of Midnight,"Maas, Sarah J.",FL,A,,/works/OL16809980W,9781639730964,borrow_available,https://covers.openlibrary.org/b/isbn/9781639730964-M.jpg?default=false
Empire of Storms,"Maas, Sarah J.",FL,A,,/works/OL17625829W,9781619636095,borrow_available,https://covers.openlibrary.org/b/isbn/9781619636095-M.jpg?default=false
Queen of Shadows,"Maas, Sarah J.",FL,A,,/works/OL17718538W,9789571067681,borrow_available,https://covers.openlibrary.org/b/isbn/9789571067681-M.jpg?default=false
Sold,"McCormick, Patricia",FL,A,,/works/OL8119653W,9780786851713,private,https://covers.openlibrary.org/b/isbn/9780786851713-M.jpg?default=false
Gone (LM),"McMann, Lisa",FL,A,,/works/OL77748W,1482664569,open,
Kissing Kate,"Myracle, Lauren",FL,A,,/works/OL5717630W,9781101175606,private,https://covers.openlibrary.org/b/isbn/9781101175606-M.jpg?default=false
ttyl,"Myracle, Lauren",FL,A,,/works/OL5717627W,9780810948211,borrow_available,https://covers.openlibrary.org/b/isbn/9780810948211-M.jpg?default=false
yolo,"Myracle, Lauren",FL,A,,/works/OL19989446W,1419716654,borrow_available,https://covers.openlibrary.org/b/isbn/1419716654-M.jpg?default=false
All the Bright Places,"Niven, Jennifer",FL,A,,/works/OL17323489W,9780593118924,open,https://covers.openlibrary.org/b/isbn/9780593118924-M.jpg?default=false
The Nowhere Girls,"Reed, Amy",FL,A,,/works/OL19721393W,1536457280,private,
When I Was the Greatest,"Reynolds, Jason",FL,A,,/works/OL19705989W,1442459476,private,https://covers.openlibrary.org/b/isbn/1442459476-M.jpg?default=false
Juliet Takes a Breath,"Rivera, Gabby",FL,A,,/works/OL20027231W,1713625431,private,https://covers.openlibrary.org/b/isbn/1713625431-M.jpg?default=false
Normal People,"Rooney, Sally",FL,A,,/works/OL20150260W,8439736312,Unknown,https://covers.openlibrary.org/b/isbn/8439736312-M.jpg?default=false
Stealing Heaven,"Scott, Elizabeth",FL,A,,/works/OL27429174W,9780061920103,Unknown,
The Lovely Bones,"Sebold, Alice",FL,A,,/works/OL5962664W,160024842X,borrow_available,https://covers.openlibrary.org/b/isbn/160024842X-M.jpg?default=false
Slaughterhouse-Five,"Vonnegut Jr., Kurt",FL,A,,/works/OL98459W,9780060564926,borrow_available,https://covers.openlibrary.org/b/isbn/9780060564926-M.jpg?default=false
The Kingdom of Little Wounds,"Cokal, Susann",FL,A,,/works/OL19973344W,076368757X,borrow_available,https://covers.openlibrary.org/b/isbn/076368757X-M.jpg?default=false
Dark Sons,"Grimes, Nikki",FL,A,,/works/OL17735686W,9780310761501,private,https://covers.openlibrary.org/b/isbn/9780310761501-M.jpg?default=false
Sasaki and Miyano,"Harusono, Shou",FL,A,,/works/OL24856054W,9781975320331,Unknown,https://covers.openlibrary.org/b/isbn/9781975320331-M.jpg?default=false
Allegedly,"Jackson, Tiffany D.",FL,A,,/works/OL20046932W,9780062422644,Unknown,https://covers.openlibrary.org/b/isbn/9780062422644-M.jpg?default=false
Blood Water Paint,"McCullough, Joy",FL,A,,/works/OL19734251W,9780735232136,Unknown,https://covers.openlibrary.org/b/isbn/9780735232136-M.jpg?default=false
Lost Gospels and Hidden Codes: New Concepts of Scripture,"McIntosh, Kenneth",FL,A,,/works/OL5715344W,9781590849828,Unknown,https://covers.openlibrary.org/b/isbn/9781590849828-M.jpg?default=false
East of Eden,"Steinbeck, John",FL,A,,/works/OL23166W,9780434740024,borrow_available,https://covers.openlibrary.org/b/isbn/9780434740024-M.jpg?default=false
Billy Graham: World-Famous Evangelist,"Wooten, Sara McIntosh",FL,A,,/works/OL1917414W,9780766015333,borrow_available,https://covers.openlibrary.org/b/isbn/9780766015333-M.jpg?default=false
Forever...,"Blume, Judy",FL,A,,/works/OL1838409W,9789996669613,private,
Identical,"Hopkins, Ellen",FL,A,,/works/OL5969735W,9781416984658,private,
Tricks,"Hopkins, Ellen",FL,A,,/works/OL5969746W,1416950087,private,https://covers.openlibrary.org/b/isbn/1416950087-M.jpg?default=false
All Boys Aren't Blue,"Johnson, George M.",FL,A,,/works/OL20728338W,9780241515044,private,
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",FL,A,,/works/OL16818314W,0763673684,private,https://covers.openlibrary.org/b/isbn/0763673684-M.jpg?default=false
Kaffir Boy: An Autobiography - The True Story of a Black Youth's Coming of Age in Apartheid South Africa,"Mathabane, Mark",FL,A,,/works/OL35425748W,,Unknown,
Jack of Hearts (and other parts),"Rosen, L. C.",FL,A,,/works/OL19794573W,9780241365014,Unknown,
Lucky (AS),"Sebold, Alice",FL,A,,/works/OL1863530W,8588808536,borrow_available,https://covers.openlibrary.org/b/isbn/8588808536-M.jpg?default=false
Front Desk,"Yang, Kelly",FL,A,,/works/OL19743864W,9781432893255,Unknown,https://covers.openlibrary.org/b/isbn/9781432893255-M.jpg?default=false
Clap When You Land,"Acevedo, Elizabeth",FL,A,,/works/OL20730641W,0062882767,Unknown,https://covers.openlibrary.org/b/isbn/0062882767-M.jpg?default=false
The Poet X,"Acevedo, Elizabeth",FL,A,,/works/OL19734273W,9781780318448,private,
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",FL,A,,/works/OL46472W,9780316013680,private,https://covers.openlibrary.org/b/isbn/9780316013680-M.jpg?default=false
Speak,"Anderson, Laurie Halse",FL,A,,/works/OL509183W,9780374371524,private,https://covers.openlibrary.org/b/isbn/9780374371524-M.jpg?default=false
Speak: The Graphic Novel,"Anderson, Laurie Halse",FL,A,,/works/OL17854075W,0374300283,private,https://covers.openlibrary.org/b/isbn/0374300283-M.jpg?default=false
Me and Earl and the Dying Girl,"Andrews, Jesse",FL,A,,/works/OL16190785W,9781419719608,borrow_available,https://covers.openlibrary.org/b/isbn/9781419719608-M.jpg?default=false
I Know Why The Caged Bird Sings,"Angelou, Maya",FL,A,,/works/OL80021W,1615879226,borrow_available,https://covers.openlibrary.org/b/isbn/1615879226-M.jpg?default=false
Thirteen Reasons Why,"Asher, Jay",FL,A,,/works/OL9264548W,9780141328294,private,https://covers.openlibrary.org/b/isbn/9780141328294-M.jpg?default=false
Oryx and Crake,"Atwood, Margaret",FL,A,,/works/OL675722W,0747562598,borrow_available,https://covers.openlibrary.org/b/isbn/0747562598-M.jpg?default=false
Cinderella Is Dead,"Bayron, Kalynn",FL,A,,/works/OL20831270W,1526621975,Unknown,https://covers.openlibrary.org/b/isbn/1526621975-M.jpg?default=false
Forever...,"Blume, Judy",FL,A,,/works/OL1838409W,9789996669613,private,
Graceling,"Cashore, Kristin",FL,A,,/works/OL15702282W,0575085304,private,https://covers.openlibrary.org/b/isbn/0575085304-M.jpg?default=false
The Perks of Being a Wallflower,"Chbosky, Stephen",FL,A,,/works/OL875437W,9782010021787,borrow_available,https://covers.openlibrary.org/b/isbn/9782010021787-M.jpg?default=false
Killing Mr. Griffin,"Duncan, Lois",FL,A,,/works/OL29700W,9780440945154,private,https://covers.openlibrary.org/b/isbn/9780440945154-M.jpg?default=false
Breathing Underwater,"Flinn, Alex",FL,A,,/works/OL15835040W,0064472574,private,https://covers.openlibrary.org/b/isbn/0064472574-M.jpg?default=false
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",FL,A,,/works/OL5738259W,9780547416212,borrow_available,
Picture Us In the Light,"Gilbert, Kelly Loy",FL,A,,/works/OL19740590W,9781484726020,Unknown,https://covers.openlibrary.org/b/isbn/9781484726020-M.jpg?default=false
Ban This Book,"Gratz, Alan",FL,A,,/works/OL19668385W,0765385570,private,
Looking for Alaska,"Green, John",FL,A,,/works/OL265426W,052542802X,borrow_available,https://covers.openlibrary.org/b/isbn/052542802X-M.jpg?default=false
The Fault in Our Stars,"Green, John",FL,A,,/works/OL16444438W,0141359153,borrow_available,
"Will Grayson, Will Grayson","Green, John",FL,A,,/works/OL11822691W,1921656239,borrow_available,
The Freedom Writers Diary,"Gruwell, Erin",FL,A,,/works/OL8526561W,038549422X,private,https://covers.openlibrary.org/b/isbn/038549422X-M.jpg?default=false
Homegoing,"Gyasi, Yaa",FL,A,,/works/OL17795349W,0241975239,private,
The Great Alone,"Hannah, Kristin",FL,A,,/works/OL18147688W,9781447286004,Unknown,https://covers.openlibrary.org/b/isbn/9781447286004-M.jpg?default=false
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",FL,A,,/works/OL42649W,9780763668716,borrow_available,https://covers.openlibrary.org/b/isbn/9780763668716-M.jpg?default=false
Burned (EH),"Hopkins, Ellen",FL,A,,/works/OL15678068W,0393959465,open,https://covers.openlibrary.org/b/isbn/0393959465-M.jpg?default=false
Crank,"Hopkins, Ellen",FL,A,,/works/OL5969752W,9780689865190,private,https://covers.openlibrary.org/b/isbn/9780689865190-M.jpg?default=false
Fallout,"Hopkins, Ellen",FL,A,,/works/OL15110282W,9781416950097,private,https://covers.openlibrary.org/b/isbn/9781416950097-M.jpg?default=false
Glass,"Hopkins, Ellen",FL,A,,/works/OL21908329W,9781416940906,private,https://covers.openlibrary.org/b/isbn/9781416940906-M.jpg?default=false
Impulse,"Hopkins, Ellen",FL,A,,/works/OL5969753W,9781416903567,private,https://covers.openlibrary.org/b/isbn/9781416903567-M.jpg?default=false
Smoke,"Hopkins, Ellen",FL,A,,/works/OL21908324W,1442423587,private,https://covers.openlibrary.org/b/isbn/1442423587-M.jpg?default=false
Tricks,"Hopkins, Ellen",FL,A,,/works/OL5969746W,1416950087,private,https://covers.openlibrary.org/b/isbn/1416950087-M.jpg?default=false
A Thousand Splendid Suns,"Hosseini, Khaled",FL,A,,/works/OL5782000W,8496767558,borrow_available,https://covers.openlibrary.org/b/isbn/8496767558-M.jpg?default=false
The Kite Runner,"Hosseini, Khaled",FL,A,,/works/OL5781992W,9780132356596,borrow_available,
Monday's Not Coming,"Jackson, Tiffany D.",FL,A,,/works/OL19742314W,9780062422682,private,https://covers.openlibrary.org/b/isbn/9780062422682-M.jpg?default=false
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",FL,A,,/works/OL19350052W,0399554653,private,https://covers.openlibrary.org/b/isbn/0399554653-M.jpg?default=false
Almost Perfect,"Katcher, Brian",FL,A,,/works/OL9334459W,9780385906203,private,https://covers.openlibrary.org/b/isbn/9780385906203-M.jpg?default=false
Two Boys Kissing,"Levithan, David",FL,A,,/works/OL16807251W,1484455169,private,
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",FL,A,,/works/OL5707424W,0307285790,private,https://covers.openlibrary.org/b/isbn/0307285790-M.jpg?default=false
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",FL,A,,/works/OL14906893W,038590438X,private,https://covers.openlibrary.org/b/isbn/038590438X-M.jpg?default=false
Unravel Me,"Mafi, Tahereh",FL,A,,/works/OL19963111W,178031857X,private,
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",FL,A,,/works/OL66218W,0063391074,private,
The Truth About Alice: A Novel,"Mathieu, Jennifer",FL,A,,/works/OL20730664W,1250063027,private,https://covers.openlibrary.org/b/isbn/1250063027-M.jpg?default=false
Sold,"McCormick, Patricia",FL,A,,/works/OL8119653W,9780786851713,private,https://covers.openlibrary.org/b/isbn/9780786851713-M.jpg?default=false
Atonement,"McEwan, Ian",FL,A,,/works/OL1855944W,9781419336911,borrow_available,https://covers.openlibrary.org/b/isbn/9781419336911-M.jpg?default=false
Beloved,"Morrison, Toni",FL,A,,/works/OL50548W,2264047968,borrow_available,
The Bluest Eye,"Morrison, Toni",FL,A,,/works/OL50565W,9780452287068,private,https://covers.openlibrary.org/b/isbn/9780452287068-M.jpg?default=false
War Inside Me,"Nicholas, Sydney",FL,A,,/works/OL20404369W,9781468546040,Unknown,https://covers.openlibrary.org/b/isbn/9781468546040-M.jpg?default=false
All the Bright Places,"Niven, Jennifer",FL,A,,/works/OL17323489W,9780593118924,open,https://covers.openlibrary.org/b/isbn/9780593118924-M.jpg?default=false
Holding Up the Universe,"Niven, Jennifer",FL,A,,/works/OL20037217W,9781536438543,private,
Where the Crawdads Sing,"Owens, Delia",FL,A,,/works/OL18766691W,0593187989,Unknown,https://covers.openlibrary.org/b/isbn/0593187989-M.jpg?default=false
Nineteen Minutes,"Picoult, Jodi",FL,A,,/works/OL891945W,1741769035,borrow_available,
We the Living,"Rand, Ayn",FL,A,,/works/OL731732W,9780451034113,private,
The Nowhere Girls,"Reed, Amy",FL,A,,/works/OL19721393W,1536457280,private,
All American Boys,"Reynolds, Jason",FL,A,,/works/OL18217886W,9781680699067,private,
And Tango Makes Three,"Richardson, Justin",FL,A,,/works/OL5709938W,1847381480,private,
Percy Jackson's Greek Gods,"Riordan, Rick",FL,A,,/works/OL17054790W,9780141355207,borrow_available,https://covers.openlibrary.org/b/isbn/9780141355207-M.jpg?default=false
Eleanor and Park,"Rowell, Rainbow",FL,A,,/works/OL37730218W,9781250356406,Unknown,
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",FL,A,,/works/OL19068751W,1536453595,Unknown,
Lucky (AS),"Sebold, Alice",FL,A,,/works/OL1863530W,8588808536,borrow_available,https://covers.openlibrary.org/b/isbn/8588808536-M.jpg?default=false
Burned (SS),"Shepard, Sara",FL,A,,/works/OL137872W,5250017363,open,
Crushed,"Shepard, Sara",FL,A,,/works/OL19965033W,0062199722,private,https://covers.openlibrary.org/b/isbn/0062199722-M.jpg?default=false
Deadly,"Shepard, Sara",FL,A,,/works/OL17827196W,9780062199751,private,https://covers.openlibrary.org/b/isbn/9780062199751-M.jpg?default=false
Flawless,"Shepard, Sara",FL,A,,/works/OL276726W,9780061749063,private,https://covers.openlibrary.org/b/isbn/9780061749063-M.jpg?default=false
Heartless,"Shepard, Sara",FL,A,,/works/OL14973685W,0061566144,private,https://covers.openlibrary.org/b/isbn/0061566144-M.jpg?default=false
Killer,"Shepard, Sara",FL,A,,/works/OL14973701W,0061919713,private,https://covers.openlibrary.org/b/isbn/0061919713-M.jpg?default=false
Perfect,"Shepard, Sara",FL,A,,/works/OL276727W,0060887389,private,https://covers.openlibrary.org/b/isbn/0060887389-M.jpg?default=false
Pretty Little Liars,"Shepard, Sara",FL,A,,/works/OL276728W,9780061748899,private,https://covers.openlibrary.org/b/isbn/9780061748899-M.jpg?default=false
